v-sweep;I(MQ1:d);
7.26;317.583;
7.27;319.076;
7.28;320.572;
7.29;322.072;
7.3;323.575;
7.31;325.082;
7.32;326.592;
7.33;328.106;
7.34;329.623;
7.35;331.144;
7.36;332.668;
7.37;334.196;
7.38;335.727;
7.39;337.262;
7.4;338.8;
7.41;340.342;
7.42;341.887;
7.43;343.436;
7.44;344.988;
7.45;346.544;
7.46;348.103;
7.47;349.666;
7.48;351.232;
7.49;352.802;
7.5;354.375;
7.51;355.952;
7.52;357.532;
7.53;359.116;
7.54;360.703;
7.55;362.294;
7.56;363.888;
7.57;365.486;
7.58;367.087;
7.59;368.692;
7.6;370.3;
7.61;371.912;
7.62;373.527;
7.63;375.146;
7.64;376.768;
7.65;378.394;
7.66;380.023;
7.67;381.656;
7.68;383.292;
7.69;384.932;
7.7;386.575;
7.71;388.222;
7.72;389.872;
7.73;391.526;
7.74;393.183;
7.75;394.844;
7.76;396.508;
7.77;398.176;
7.78;399.847;
7.79;401.522;
7.8;403.2;
7.81;404.882;
7.82;406.567;
7.83;408.256;
7.84;409.948;
7.85;411.644;
7.86;413.343;
7.87;415.046;
7.88;416.752;
7.89;418.462;
7.9;420.175;
7.91;421.892;
7.92;423.612;
7.93;425.336;
7.94;427.063;
7.95;428.794;
7.96;430.528;
7.97;432.266;
7.98;434.007;
7.99;435.752;
8;437.5;
8.01;439.252;
8.02;441.007;
8.03;442.766;
8.04;444.528;
8.05;446.294;
8.06;448.063;
8.07;449.836;
8.08;451.612;
8.09;453.392;
8.1;455.175;
8.11;456.962;
8.12;458.752;
8.13;460.546;
8.14;462.343;
8.15;464.144;
8.16;465.948;
8.17;467.756;
8.18;469.567;
8.19;471.382;
8.2;473.2;
8.21;475.022;
8.22;476.847;
8.23;478.676;
8.24;480.508;
8.25;482.344;
8.26;484.183;
8.27;486.026;
8.28;487.872;
8.29;489.722;
8.3;491.575;
8.31;493.432;
8.32;495.292;
8.33;497.156;
8.34;499.023;
8.35;500.894;
8.36;502.768;
8.37;504.646;
8.38;506.527;
8.39;508.412;
8.4;510.3;
8.41;512.192;
8.42;514.087;
8.43;515.986;
8.44;517.888;
8.45;519.794;
8.46;521.703;
8.47;523.616;
8.48;525.532;
8.49;527.452;
8.5;529.375;
8.51;531.302;
8.52;533.232;
8.53;535.166;
8.54;537.103;
8.55;539.044;
8.56;540.988;
8.57;542.936;
8.58;544.887;
8.59;546.842;
8.6;548.8;
8.61;550.762;
8.62;552.727;
8.63;554.696;
8.64;556.668;
8.65;558.644;
8.66;560.623;
8.67;562.606;
8.68;564.592;
8.69;566.582;
8.7;568.575;
8.71;570.572;
8.72;572.572;
8.73;574.576;
8.74;576.583;
8.75;578.594;
8.76;580.608;
8.77;582.626;
8.78;584.647;
8.79;586.672;
8.8;588.7;
8.81;590.732;
8.82;592.767;
8.83;594.806;
8.84;596.848;
8.85;598.894;
8.86;600.943;
8.87;602.996;
8.88;605.052;
8.89;607.112;
8.9;609.175;
8.91;611.242;
8.92;613.312;
8.93;615.386;
8.94;617.463;
8.95;619.544;
8.96;621.628;
8.97;623.716;
8.98;625.807;
8.99;627.902;
9;630;
9.01;632.102;
9.02;634.207;
9.03;636.316;
9.04;638.428;
9.05;640.544;
9.06;642.663;
9.07;644.786;
9.08;646.912;
9.09;649.042;
9.1;651.175;
9.11;653.312;
9.12;655.452;
9.13;657.596;
9.14;659.743;
9.15;661.894;
9.16;664.048;
9.17;666.206;
9.18;668.367;
9.19;670.532;
9.2;672.7;
9.21;674.872;
9.22;677.047;
9.23;679.226;
9.24;681.408;
9.25;683.594;
9.26;685.783;
9.27;687.976;
9.28;690.172;
9.29;692.372;
9.3;694.575;
9.31;696.782;
9.32;698.992;
9.33;701.206;
9.34;703.423;
9.35;705.644;
9.36;707.868;
9.37;710.096;
9.38;712.327;
9.39;714.562;
9.4;716.8;
9.41;719.042;
9.42;721.287;
9.43;723.536;
9.44;725.788;
9.45;728.044;
9.46;730.303;
9.47;732.566;
9.48;734.832;
9.49;737.102;
9.5;739.375;
9.51;741.652;
9.52;743.932;
9.53;746.216;
9.54;748.503;
9.55;750.794;
9.56;753.088;
9.57;755.386;
9.58;757.687;
9.59;759.992;
9.6;762.3;
9.61;764.612;
9.62;766.927;
9.63;769.246;
9.64;771.568;
9.65;773.894;
9.66;776.223;
9.67;778.556;
9.68;780.892;
9.69;783.232;
9.7;785.575;
9.71;787.922;
9.72;790.272;
9.73;792.626;
9.74;794.983;
9.75;797.344;
9.76;799.708;
9.77;802.076;
9.78;804.447;
9.79;806.822;
9.8;809.2;
9.81;811.582;
9.82;813.967;
9.83;816.356;
9.84;818.748;
9.85;821.144;
9.86;823.543;
9.87;825.946;
9.88;828.352;
9.89;830.762;
9.9;833.175;
9.91;835.592;
9.92;838.012;
9.93;840.436;
9.94;842.863;
9.95;845.294;
9.96;847.728;
9.97;850.166;
9.98;852.607;
9.99;855.052;
10;857.5;
